book_name,lemmatized
The Highly Sensitive Person,0 is a selfassessment guide and howtolive template for people who feel relate process and notice more deeply than others and who frequently suffer from overstimulation a a result science
Why Has Nobody Told Me This Before?,1 is a collection of a clinical psychologist best practical advice to combat anxiety and depression and improve our mental health in small increment collected from over a decade of 1on1 work with patient science
The Midnight Library,2 tell the story of nora a depressed woman in her 30 who on the day she decides to die find herself in a library full of life she could have lived where she discovers there a lot more to life even her current one than she had ever imagined science
Brave New World,3 present a futuristic society engineered perfectly around capitalism and scientific efficiency in which everyone is happy conform and content but only at first glance science
1984,4 is the story of a man questioning the system that keep his futuristic but dystopian society afloat and the chaos that quickly ensues once he give in to his natural curiosity and desire to be free science
Stolen Focus,5 explains why our attention span have been dwindling for decade how technology accelerates this worrying trend and what we can do to reclaim our focus and thus our capacity to live meaningful life science
The Life-Changing Science of Detecting Bullshit,6 teach it reader how to avoid falling for the lie and false information that other people spread by helping them build essential thinking skill through example from the real world science
Dopamine Nation,7 talk about the importance of living a balanced life in relation to all the pleasure and stimulus were surrounded with on a daily basis such a drug device porn gambling facility showing u how to avoid becoming dopamine addict by restricting our access to them science
The Art of Statistics,8 is a nontechnical book that show how statistic is helping human everywhere get a new hold of data interpret number factcheck information and reveal valuable insight all while keeping the world a we know it afloat science
No Self No Problem,9 is a provocative read about the implication of buddhism in neuroscience and more specifically about the idea that the self is only a product of the mind meaning that there is no i science
The Highly Sensitive Person,10 is a selfassessment guide and howtolive template for people who feel relate process and notice more deeply than others and who frequently suffer from overstimulation a a result science
Why Has Nobody Told Me This Before?,11 is a collection of a clinical psychologist best practical advice to combat anxiety and depression and improve our mental health in small increment collected from over a decade of 1on1 work with patient science
The Midnight Library,12 tell the story of nora a depressed woman in her 30 who on the day she decides to die find herself in a library full of life she could have lived where she discovers there a lot more to life even her current one than she had ever imagined science
Brave New World,13 present a futuristic society engineered perfectly around capitalism and scientific efficiency in which everyone is happy conform and content but only at first glance science
1984,14 is the story of a man questioning the system that keep his futuristic but dystopian society afloat and the chaos that quickly ensues once he give in to his natural curiosity and desire to be free science
Stolen Focus,15 explains why our attention span have been dwindling for decade how technology accelerates this worrying trend and what we can do to reclaim our focus and thus our capacity to live meaningful life science
The Life-Changing Science of Detecting Bullshit,16 teach it reader how to avoid falling for the lie and false information that other people spread by helping them build essential thinking skill through example from the real world science
