book_name,stemmed
The Highly Sensitive Person,0 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result scienc
Why Has Nobody Told Me This Before?,1 is a collect of a clinic psychologist best practic advic to combat anxieti and depress and improv our mental health in small increment collect from over a decad of 1on1 work with patient scienc
The Midnight Library,2 tell the stori of nora a depress woman in her 30 who on the day she decid to die find herself in a librari full of live she could have live where she discov there a lot more to life even her current one than she had ever imagin scienc
Brave New World,3 present a futurist societi engin perfectli around capit and scientif effici in which everyon is happi conform and content but onli at first glanc scienc
1984,4 is the stori of a man question the system that keep hi futurist but dystopian societi afloat and the chao that quickli ensu onc he give in to hi natur curios and desir to be free scienc
Stolen Focus,5 explain whi our attent span have been dwindl for decad how technolog acceler thi worri trend and what we can do to reclaim our focu and thu our capac to live meaning live scienc
The Life-Changing Science of Detecting Bullshit,6 teach it reader how to avoid fall for the lie and fals inform that other peopl spread by help them build essenti think skill through exampl from the real world scienc
Dopamine Nation,7 talk about the import of live a balanc life in relat to all the pleasur and stimuli were surround with on a daili basi such as drug devic porn gambl facil show us how to avoid becom dopamin addict by restrict our access to them scienc
The Art of Statistics,8 is a nontechn book that show how statist is help human everywher get a new hold of data interpret number factcheck inform and reveal valuabl insight all while keep the world as we know it afloat scienc
No Self No Problem,9 is a provoc read about the implic of buddhism in neurosci and more specif about the idea that the self is onli a product of the mind mean that there is no i scienc
The Highly Sensitive Person,10 is a selfassess guid and howtol templat for peopl who feel relat process and notic more deepli than other and who frequent suffer from overstimul as a result scienc
Why Has Nobody Told Me This Before?,11 is a collect of a clinic psychologist best practic advic to combat anxieti and depress and improv our mental health in small increment collect from over a decad of 1on1 work with patient scienc
The Midnight Library,12 tell the stori of nora a depress woman in her 30 who on the day she decid to die find herself in a librari full of live she could have live where she discov there a lot more to life even her current one than she had ever imagin scienc
Brave New World,13 present a futurist societi engin perfectli around capit and scientif effici in which everyon is happi conform and content but onli at first glanc scienc
1984,14 is the stori of a man question the system that keep hi futurist but dystopian societi afloat and the chao that quickli ensu onc he give in to hi natur curios and desir to be free scienc
Stolen Focus,15 explain whi our attent span have been dwindl for decad how technolog acceler thi worri trend and what we can do to reclaim our focu and thu our capac to live meaning live scienc
The Life-Changing Science of Detecting Bullshit,16 teach it reader how to avoid fall for the lie and fals inform that other peopl spread by help them build essenti think skill through exampl from the real world scienc
Dopamine Nation,17 talk about the import of live a balanc life in relat to all the pleasur and stimuli were surround with on a daili basi such as drug devic porn gambl facil show us how to avoid becom dopamin addict by restrict our access to them scienc
The Art of Statistics,18 is a nontechn book that show how statist is help human everywher get a new hold of data interpret number factcheck inform and reveal valuabl insight all while keep the world as we know it afloat scienc
No Self No Problem,19 is a provoc read about the implic of buddhism in neurosci and more specif about the idea that the self is onli a product of the mind mean that there is no i scienc
The Code Breaker,20 detail the life of nobel prize winner jennif doudna who embark on and success complet a journey to invent a tool that allow us to edit the human genet code and thu will chang our live health and futur gener forev scienc
Super Human,21 present the groundbreak discoveri of dave asprey the ceo of bulletproof in the field of diet amp nutrit biohack longev and offer a scientif view on how to live your best life and look like the best version of yourself by adopt practic acclaim by bioengin right away scienc
This Is Your Mind On Plants,22 scienc
