book_name,tokenized
The Highly Sensitive Person,0 is a selfassessment guide and howtolive template for people who feel relate process and notice more deeply than others and who frequently suffer from overstimulation as a result science
Why Has Nobody Told Me This Before?,1 is a collection of a clinical psychologists best practical advice to combat anxiety and depression and improve our mental health in small increments collected from over a decade of 1on1 work with patients science
The Midnight Library,2 tells the story of nora a depressed woman in her 30s who on the day she decides to die finds herself in a library full of lives she could have lived where she discovers theres a lot more to life even her current one than she had ever imagined science
Brave New World,3 presents a futuristic society engineered perfectly around capitalism and scientific efficiency in which everyone is happy conform and content but only at first glance science
1984,4 is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free science
Stolen Focus,5 explains why our attention spans have been dwindling for decades how technology accelerates this worrying trend and what we can do to reclaim our focus and thus our capacity to live meaningful lives science
The Life-Changing Science of Detecting Bullshit,6 teaches its readers how to avoid falling for the lies and false information that other people spread by helping them build essential thinking skills through examples from the real world science
Dopamine Nation,7 talks about the importance of living a balanced life in relation to all the pleasure and stimuli were surrounded with on a daily basis such as drugs devices porn gambling facilities showing us how to avoid becoming dopamine addicts by restricting our access to them science
The Art of Statistics,8 is a nontechnical book that shows how statistics is helping humans everywhere get a new hold of data interpret numbers factcheck information and reveal valuable insights all while keeping the world as we know it afloat science
No Self No Problem,9 is a provocative read about the implications of buddhism in neuroscience and more specifically about the idea that the self is only a product of the mind meaning that there is no i science
The Highly Sensitive Person,10 is a selfassessment guide and howtolive template for people who feel relate process and notice more deeply than others and who frequently suffer from overstimulation as a result science
Why Has Nobody Told Me This Before?,11 is a collection of a clinical psychologists best practical advice to combat anxiety and depression and improve our mental health in small increments collected from over a decade of 1on1 work with patients science
The Midnight Library,12 tells the story of nora a depressed woman in her 30s who on the day she decides to die finds herself in a library full of lives she could have lived where she discovers theres a lot more to life even her current one than she had ever imagined science
Brave New World,13 presents a futuristic society engineered perfectly around capitalism and scientific efficiency in which everyone is happy conform and content but only at first glance science
1984,14 is the story of a man questioning the system that keeps his futuristic but dystopian society afloat and the chaos that quickly ensues once he gives in to his natural curiosity and desire to be free science
Stolen Focus,15 explains why our attention spans have been dwindling for decades how technology accelerates this worrying trend and what we can do to reclaim our focus and thus our capacity to live meaningful lives science
The Life-Changing Science of Detecting Bullshit,16 teaches its readers how to avoid falling for the lies and false information that other people spread by helping them build essential thinking skills through examples from the real world science
Dopamine Nation,17 talks about the importance of living a balanced life in relation to all the pleasure and stimuli were surrounded with on a daily basis such as drugs devices porn gambling facilities showing us how to avoid becoming dopamine addicts by restricting our access to them science
The Art of Statistics,18 is a nontechnical book that shows how statistics is helping humans everywhere get a new hold of data interpret numbers factcheck information and reveal valuable insights all while keeping the world as we know it afloat science
No Self No Problem,19 is a provocative read about the implications of buddhism in neuroscience and more specifically about the idea that the self is only a product of the mind meaning that there is no i science
The Code Breaker,20 details the life of nobel prize winner jennifer doudna who embarked on and successfully completed a journey to invent a tool that allows us to edit the human genetic code and thus will change our lives health and future generations forever science
Super Human,21 presents the groundbreaking discoveries of dave asprey the ceo of bulletproof in the field of diet amp nutrition biohacking longevity and offers a scientific view on how to live your best life and look like the best version of yourself by adopting practices acclaimed by bioengineers right away science
This Is Your Mind On Plants,22 science
The Undoing Project,23 talks about the life and extensive research in the psychology of kahneman and tversky by bringing forth some of the most influential and groundbreaking discoveries they unveiled about human behavior and the biases in our decisions science
The Dawn of Everything,24 tells the story of how we went from huntergatherers to citybuilders from the stone age to todays modern world all by exploring a series of new discoveries made by scientists who are challenging some longheld beliefs about our history science
One Decision,25 explains how flawed decisions occur and how you can avoid them by analyzing data at first asking for factchecked opinions eliminating your biases and prejudice and many more useful practices derived from psychological research science
Napoleon’s Buttons,26 explores the scientific phenomenon of molecules by highlighting how we can trace the origins of our entire existence to something as tiny as atoms and make sense of various events in history that shaped our world science
The Sovereign Individual,27 jumps into the future and presents a new world where life moves into the online environment where the cybereconomy rules and governments are struggling to control the people like they used to all through a revolution more powerful than anything weve seen before science
Keto Answers,28 is your goto guide on how to get started with the ketogenic diet its positive implications on your health and proneness to diseases like diabetes and a factbased study that debunks myths and assumptions about following a lowcarb diet science
Joyful,29 talks about the power of small things in our lives from colors shapes and designs to nature architecture and simple everyday occurrences on our happiness and how we can harness simplicity to achieve a meaningful life filled with joy science
Invisible Women,30 talks about the flaws in our societal system which was built on the premise that men should rule and conquer the world while women should stay at home which is why were still seeing gender gaps in the personal professional and daytoday lives of women science
The Worldly Philosophers,31 is your handson guide to economics how the world works overall but especially from a financial point of view what are the social and economic systems that existed throughout history and how certain peoples concepts got to shape the world we know today science
Brain Maker,32 argues that the relationship between your gut and your mind is stronger than you know and proves how the microbiome is responsible for your overall health in the long run science
Tesla: Man Out of Time,33 presents the biography and remarkable life of nikola tesla one of the most notable inventors and engineers of all time while also highlighting his bumpy relationship with thomas edison and his heavy childhood science
The God Equation,34 presents a factual approach to the theory of life the inception of the universe and how modern physics lay the foundation of all natural laws that govern the galaxies the planets and our home called earth science
Astrophysics for People in a Hurry,35 talks about the laws of nature physics astronomy and the mysterious inception of our cosmos the universe stars and implicitly our beautiful planet where life thrives and perpetuates science
Lifespan,36 addresses the concept of aging and defies the laws of nature that humankind knew till now by presenting a cure to aging that derives from exetensive research in biology diet and nutrition sports and the science of combating diseases science
The Inner Life of Animals,37 presents complex research on animals and the life of our ecosystem which is not so different than ours given that they can feel pain experience emotions and share other similarities with us humans science
Chaos,38 is a scientific piece of writing that presents the principles behind the chaos theory which was popularized in the late 20th century and represents a monumental step forward in the area of scientific knowledge and the universes evolution overall science
Unlimited Memory,39 explores the most effective ways to retain information and improve memory skills by teaching its readers some key aspects about the brain and explaining advanced learning strategies in an easytofollow manner science
Wintering,40 highlights the similarities between the cold season of the year and the period of hardship in a human life by emphasizing how everything eventually passes in time and how we can learn to embrace challenging times by learning from wolves from the cold and how our ancestors dealt with the winter science
The Shallows,41 explores the effects of the internet on the human brain which arent entirely positive as our constant exposure to the online environment through digital devices strips our ability to target our focus and stay concentrated all while modifying our brain neurologically and anatomically science
Rationality,42 explores the concept of ration as the pylon of all human progress and how it sets us apart from all other species helping us evolve and developing societal layers rules of conduct and moral grounds for all our endeavors in life science
The High 5 Habit,43 is a selfimprovement book that aims to help anyone who deals with selflimitations take charge of their life by establishing a morning routine ditching negative talk and transforming their life through positivity and confidence science
Why Zebras Don’t Get Ulcers,44 explores the leading causes of stress and how to keep it under control as well as the biological science behind stress which can be a catalyst for performance in the short term but a potential threat in the long run science
What Is Life?,45 compresses a series of lectures given by the notorious physicist erwin schrdinger and is a compelling research on how science especially biology chemistry and physics account for the ongoing process that the human body undertakes to simply exist and live science
The Self-Discipline Blueprint,46 delves into the subject of selfactualization and why it is crucial for humans to achieve a fulfilled and successful life by creating a routine and becoming focused selfdisciplined and hardworking science
