,tfidf_top10_stem_unique_books,tfidf_top5_lemma_unique_books,w2v_lemma_cbow_win10_dim1000_top10,w2v_lemma_cbow_win10_dim300_top10,w2v_lemma_cbow_win4_dim1000_top10,w2v_lemma_cbow_win4_dim300_top10,w2v_lemma_skipgram_win10_dim1000_top10,w2v_lemma_skipgram_win10_dim300_top10,w2v_lemma_skipgram_win4_dim1000_top10,w2v_lemma_skipgram_win4_dim300_top10,w2v_stem_cbow_win10_dim1000_top10,w2v_stem_cbow_win10_dim300_top10,w2v_stem_cbow_win4_dim1000_top10,w2v_stem_cbow_win4_dim300_top10,w2v_stem_skipgram_win10_dim1000_top10,w2v_stem_skipgram_win10_dim300_top10,w2v_stem_skipgram_win4_dim1000_top10,w2v_stem_skipgram_win4_dim300_top10
tfidf_top10_stem_unique_books,1.0,0.25,0.1111111111111111,0.1111111111111111,0.0,0.0,0.25,0.25,0.25,0.1111111111111111,0.25,0.25,0.0,0.0,0.25,0.25,0.1111111111111111,0.1111111111111111
tfidf_top5_lemma_unique_books,0.25,1.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.25,0.1111111111111111,0.1111111111111111,0.1111111111111111
w2v_lemma_cbow_win10_dim1000_top10,0.1111111111111111,0.1111111111111111,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.25,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
w2v_lemma_cbow_win10_dim300_top10,0.1111111111111111,0.1111111111111111,0.6666666666666666,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.25,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
w2v_lemma_cbow_win4_dim1000_top10,0.0,0.0,0.6666666666666666,0.42857142857142855,1.0,0.6666666666666666,0.25,0.25,0.25,0.25,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.25
w2v_lemma_cbow_win4_dim300_top10,0.0,0.0,0.42857142857142855,0.42857142857142855,0.6666666666666666,1.0,0.25,0.25,0.25,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.6666666666666666,0.25,0.25,0.25,0.25
w2v_lemma_skipgram_win10_dim1000_top10,0.25,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.25,0.25,1.0,1.0,0.6666666666666666,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.25,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
w2v_lemma_skipgram_win10_dim300_top10,0.25,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.25,0.25,1.0,1.0,0.6666666666666666,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.25,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
w2v_lemma_skipgram_win4_dim1000_top10,0.25,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.25,0.25,0.6666666666666666,0.6666666666666666,1.0,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.25,0.25,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
w2v_lemma_skipgram_win4_dim300_top10,0.1111111111111111,0.1111111111111111,0.42857142857142855,0.42857142857142855,0.25,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,0.1111111111111111,0.1111111111111111,0.25,0.25,0.42857142857142855,0.42857142857142855,0.6666666666666666,0.6666666666666666
